Eldon Base for stackable storage shelf;1
 platinum;1
Muhammed MacIntyre;1
3;1
-213.25;1
38.94;1
35;1
Nunavut;1
Storage & Organization;1
0.8;1
"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators";1
Barry French;1
293;1
457.81;1
208.16;1
68.02;1
Nunavut;1
Appliances;1
0.58;1
Cardinal Slant-D® Ring Binder;1
 Heavy Gauge Vinyl;1
Barry French;1
293;1
46.71;1
8.69;1
2.99;1
Nunavut;1
Binders and Binder Accessories;1
0.39;1
R380;1
Clay Rozendal;1
483;1
1198.97;1
195.99;1
3.99;1
Nunavut;1
Telephones and Communication;1
0.58;1
Holmes HEPA Air Purifier;1
Carlos Soltero;1
515;1
30.94;1
21.78;1
5.94;1
Nunavut;1
Appliances;1
0.5;1
G.E. Longer-Life Indoor Recessed Floodlight Bulbs;1
Carlos Soltero;1
515;1
4.43;1
6.64;1
4.95;1
Nunavut;1
Office Furnishings;1
0.37;1
Angle-D Binders with Locking Rings;1
 Label Holders;1
Carl Jackson;1
613;1
-54.04;1
7.3;1
7.72;1
Nunavut;1
Binders and Binder Accessories;1
0.38;1
SAFCO Mobile Desk Side File;1
 Wire Frame;1
Carl Jackson;1
613;1
127.7;1
42.76;1
6.22;1
Nunavut;1
Storage & Organization;1
SAFCO Commercial Wire Shelving;1
 Black;1
Monica Federle;1
643;1
-695.26;1
138.14;1
35;1
Nunavut;1
Storage & Organization;1
Xerox 198;1
Dorothy Badders;1
678;1
-226.36;1
4.98;1
8.33;1
Nunavut;1
Paper;1
0.38;1
Xerox 1980;1
Neola Schneider;1
807;1
-166.85;1
4.28;1
6.18;1
Nunavut;1
Paper;1
0.4;1
Advantus Map Pennant Flags and Round Head Tacks;1
Neola Schneider;1
807;1
-14.33;1
3.95;1
2;1
Nunavut;1
Rubber Bands;1
0.53;1
Holmes HEPA Air Purifier;1
Carlos Daly;1
868;1
134.72;1
21.78;1
5.94;1
Nunavut;1
Appliances;1
0.5;1
DS/HD IBM Formatted Diskettes;1
 200/Pack - Staples;1
Carlos Daly;1
868;1
114.46;1
47.98;1
3.61;1
Nunavut;1
Computer Peripherals;1
0.71;1
"Wilson Jones 1"" Hanging DublLock® Ring Binders";1
Claudia Miner;1
933;1
